,BLOCKLOT,REC:PROG,REC:Neighborhood,REC:Address
143,3828049,1,BARCLAY,2416 GUILFORD AVE
144,4070A069,1,BETTER WAVERLY,2619 BOONE ST
145,1710041,1,BALTIMORE-LINWOOD,154 N LAKEWOOD AVE
146,1608022,1,MILTON-MONTFORD,843 N MONTFORD AV
147,3335059,1,PARK CIRCLE,2610 VIOLET AVE
148,6558019,1,GREEKTOWN,636 OLDHAM ST
149,0199001,1,POPPLETON,1 N CAREY ST
150,3972002,1,WAVERLY,3803 OLD YORK ROAD
151,5053015,1,KERNEWOOD,4628 YORK ROAD
152,6287056,1,BALTIMORE HIGHLANDS,3717 MOUNT PLEASANT AVE
153,2730010,1,DORCHESTER,4018 LIBERTY HEIGHTS AVE
154,3903A040,1,WAVERLY,503 E 39TH ST
155,2742A007,1,CONCERNED CITIZENS OF FOREST P,3913 NORFOLK AVE
156,3350E032,1,PARKLANE,3007 WYLIE AVE
157,4018018,1,EAST BALTIMORE MIDWAY,2000 BOONE ST
158,1500002,1,BROADWAY EAST,1414 N COLLINGTON AV
159,5165C045,1,WOODBOURNE-MCCABE,5201 CRAIG AVE
160,4198B010,1,ARCADIA,3029 WEAVER AVE
161,4804A010,1,CYLBURN,3018 VIRGINIA AVE
162,4552128,1,ARLINGTON,5215 ELMER AVE
163,3834019C,1,HARWOOD,2522 BARCLAY ST
164,5190010,1,WILSON PARK,4415 SAINT GEORGES AVE
165,3875024,1,ABELL,302 E 31ST ST
166,2748002,1,WEST FOREST PARK,3102 OAKFIELD AVE
167,4114F013,1,COLDSTREAM HOMESTEAD MONTEBELL,2535 GARRETT AVE
168,4114F045,1,COLDSTREAM HOMESTEAD MONTEBELL,2548 ROBB ST
169,4114I022,1,COLDSTREAM HOMESTEAD MONTEBELL,2552 GARRETT AVE
170,4114I024,1,COLDSTREAM HOMESTEAD MONTEBELL,2556 GARRETT AVE
171,7077025,1,BROOKLYN,600 E PATAPSCO AVE
172,0277002,1,NEW SOUTHWEST/MOUNT CLARE,302 S GILMOR ST
173,0153046,1,FRANKLIN SQUARE,1304 W SARATOGA ST
174,7644068,1,CHERRY HILL,2881 BOOKERT DR
175,4114H044,1,COLDSTREAM HOMESTEAD MONTEBELL,2612 CECIL AVE
176,4114G005,1,COLDSTREAM HOMESTEAD MONTEBELL,2609 CECIL AVE
177,4114B001,1,COLDSTREAM HOMESTEAD MONTEBELL,2601 ROBB ST
178,3814019,1,BARCLAY,415 E 22ND ST
179,4198B011,1,ARCADIA,3031 WEAVER AVE
180,7077026,1,BROOKLYN,606 E PATAPSCO AVE
181,1714164,1,ELLWOOD PARK/MONUMENT,3022 E FAYETTE ST
182,1677070,1,ELLWOOD PARK/MONUMENT,413 N CURLEY ST
183,1569010,1,MIDDLE EAST,2119 E CHASE ST
184,4613001A,1,CENTRAL PARK HEIGHTS,3002 OAKLEY AV
185,6288047,1,BALTIMORE HIGHLANDS,3437 E LOMBARD ST
186,3942021,1,COLDSTREAM HOMESTEAD MONTEBELL,2942 HARFORD ROAD
187,2951C004,1,,3734 DOLFIELD AV
188,0719B024,1,CARROLLTON RIDGE,611 S PAYSON ST
189,7470A030,1,LAKELAND,2828 GANLEY DR
190,1466020,1,BROADWAY EAST,1639 N BROADWAY 
191,1138048,1,OLIVER,1420 N BROADWAY 
192,1678012,1,ELLWOOD PARK/MONUMENT,319 N ROBINSON ST
193,1623038,1,MILTON-MONTFORD,723 N PATTERSON PK AV
194,1623040,1,MILTON-MONTFORD,719 N PATTERSON PK AV
195,5180A034C,1,WINSTON-GOVANS,5018 READY AVE
196,0209024,1,FRANKLIN SQUARE,1726 FREDERICK AVE
197,0209025,1,FRANKLIN SQUARE,1724 FREDERICK AVE
198,7118018,1,BROOKLYN,912 STOLL ST
199,0327047,1,UPTON,1817 PENNSYLVANIA AVE
200,4123A009,1,COLDSTREAM HOMESTEAD MONTEBELL,2548 HARFORD ROAD
201,0014004,1,SANDTOWN-WINCHESTER,1606 N FULTON AVE
202,0214002,1,FRANKLIN SQUARE,1403 W BALTIMORE ST
203,0214001,1,FRANKLIN SQUARE,1401 W BALTIMORE ST
204,6288018,1,BALTIMORE HIGHLANDS,3434 MOUNT PLEASANT AVE
205,8318001,1,HOWARD PARK,5100 GWYNN OAK AVE
206,4218020,1,FALLSTAFF,7120 PARK HEIGHTS AVE
207,3240003,1,PARKVIEW/WOODBROOK,1704 GWYNNS FALLS PKWY
208,1676066,1,MCELDERRY PARK,2804 ORLEANS ST
209,1676067,1,MCELDERRY PARK,2802 ORLEANS ST
210,5165B005,1,WOODBOURNE-MCCABE,608 MCCABE AVE
211,1118045,1,OLIVER,1628 N BROADWAY 
212,5165080,1,WINSTON-GOVANS,617 MCCABE AVE
213,3032032,1,WALBROOK,2902 POPLAR TERR
214,5165C002,1,WOODBOURNE-MCCABE,702 MCCABE AVE
215,4544B021,1,ARLINGTON,5222 CUTHBERT AVE
216,4096007,1,BETTER WAVERLY,922 HOMESTEAD ST
217,4511A007,1,ARLINGTON,5354 CUTHBERT AVE
218,3172053,1,PARK CIRCLE,2800 ULMAN AV
219,3061B091,1,HANLON-LONGWOOD,2501 N ELLAMONT ST
220,2902003C,1,FOREST PARK,3623 LIBERTY HEIGHTS AVE
221,2960073,1,DOLFIELD,3920 RIDGEWOOD AVE
222,2289013,1,ALLENDALE,325 ALLENDALE ST
223,2362055,1,EVERGREEN LAWN,2505 HARLEM AVE
224,7841A046,1,MORRELL PARK,2008 GRIFFIS AVE
225,2285004,1,ALLENDALE,3507 W FRANKLIN ST
226,7779003,1,MORRELL PARK,2530 WASHINGTON BLVD
227,2503048,1,EDMONDSON VILLAGE,715 LINNARD ST
228,2275A066,1,ALLENDALE,145 N MONASTERY AVE
229,2275A059,1,ALLENDALE,159 N MONASTERY AVE
230,2544001,1,IRVINGTON,200 S AUGUSTA AVE
231,2537036,1,IRVINGTON,314 S COLLINS AVE
232,2292A030,1,ALLENDALE,3704 W FRANKLIN ST
233,2247006,1,IRVINGTON,249 S LOUDON AVE
234,2535002,1,IRVINGTON,4209 FREDERICK AVE
235,2275A001,1,ALLENDALE,246 N HILTON ST
236,8139L012,1,BEECHFIELD,423 RANDOM ROAD
237,8139005,1,BEECHFIELD,4709 FREDERICK AVE
238,3239007,1,PARKVIEW/WOODBROOK,1632 GWYNNS FALLS PKWY
239,3235030,1,PARKVIEW/WOODBROOK,1635 GWYNNS FALLS PKWY
