,Neighborhood,VAC:PROG,REC:PROG,ADOPT:PROG,BID:PROG,VACandADOPT,VACandREC,VACandBID,ADOPTandBID,REAL:Vacant,AnyProgram,TotalParcels,NotCityOwned,CityOwned,CityOwnedProgramSubset,AdditionalVacants,population,white,blk_afam,amind_akna,asian,nathaw_pac,other_race,twoormore,hisp_lat,male,female,age0_4,age5_11,age12_14,age15_17,age18_24,age25_34,age35_44,age45_64,age65ovr,families,married,married18,malehh,malehh18,femalehh,femalehh18,housing,occupied,occ_own,occ_rent,vacant,vac_rent,vac_sale,vac_other,pop_dens,pop_chng,hh_chng,avehhsize,2019MedianIncome,MedianIncomeChangeFrom2011,2019PercentPublicAssistance
108,HAMILTONHILLS,10.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,12.0,19,2475,2452.0,23.0,9.0,2.0,9752.0,2495.0,6837.0,17.0,94.0,1.0,89.0,219.0,266.0,4522.0,5230.0,777.0,885.0,324.0,373.0,1091.0,1482.0,1335.0,2670.0,815.0,2427.0,1152.0,421.0,258.0,132.0,1017.0,598.0,4410.0,4054.0,1972.0,2082.0,356.0,198.0,51.0,107.0,8539.90117559,-28.0,-100.0,2.40305995,61663.0,8494.0,0.0287
109,HAMPDEN,13.0,1.0,22.0,0.0,0.0,1.0,0.0,0.0,23.0,35,3367,3331.0,36.0,22.0,10.0,6963.0,6208.0,314.0,18.0,186.0,1.0,60.0,176.0,221.0,3371.0,3592.0,356.0,304.0,114.0,126.0,640.0,1912.0,1005.0,1566.0,940.0,1417.0,933.0,248.0,170.0,69.0,314.0,131.0,3858.0,3432.0,1913.0,1519.0,426.0,164.0,68.0,194.0,11332.0066295,-499.0,-35.0,2.01980996,85202.0,35424.0,0.025
110,HANLON-LONGWOOD,27.0,8.0,34.0,0.0,0.0,1.0,0.0,0.0,36.0,68,916,878.0,38.0,31.0,9.0,2311.0,23.0,2222.0,2.0,2.0,0.0,18.0,44.0,35.0,1029.0,1282.0,123.0,216.0,89.0,101.0,211.0,290.0,269.0,641.0,371.0,564.0,183.0,53.0,66.0,22.0,315.0,122.0,1133.0,898.0,533.0,365.0,235.0,60.0,25.0,150.0,5310.40493297,-378.0,-148.0,2.57349991,47949.0,17560.0,0.034
112,HARLEMPARK,541.0,9.0,156.0,125.0,0.0,8.0,38.0,62.0,582.0,723,1978,1582.0,396.0,267.0,42.0,3654.0,43.0,3524.0,7.0,22.0,0.0,6.0,52.0,29.0,1747.0,1907.0,236.0,287.0,118.0,128.0,400.0,419.0,405.0,1011.0,650.0,715.0,176.0,56.0,112.0,31.0,427.0,220.0,2648.0,1579.0,345.0,1234.0,1069.0,203.0,38.0,828.0,11704.9641194,-1065.0,-320.0,2.25205993,24927.0,655.0,0.018
113,HARWOOD,13.0,7.0,3.0,1.0,0.0,4.0,0.0,0.0,21.0,20,741,733.0,8.0,4.0,8.0,1575.0,324.0,1174.0,5.0,25.0,0.0,10.0,37.0,44.0,717.0,858.0,117.0,133.0,66.0,59.0,214.0,281.0,230.0,350.0,125.0,331.0,128.0,40.0,34.0,13.0,169.0,83.0,749.0,570.0,303.0,267.0,179.0,62.0,19.0,98.0,22204.5176238,-208.0,1.0,2.75439,60670.0,19295.0,0.044
114,HAWKINSPOINT,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10,120,108.0,12.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-17499.0,
115,HERITAGECROSSING,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,242,238.0,4.0,,1.0,1029.0,30.0,958.0,2.0,17.0,0.0,5.0,17.0,25.0,428.0,601.0,102.0,123.0,34.0,45.0,139.0,145.0,128.0,252.0,61.0,254.0,61.0,26.0,27.0,16.0,166.0,104.0,446.0,437.0,156.0,281.0,9.0,5.0,0.0,4.0,12080.0659703,629.0,244.0,2.35469007,,,
116,HERRINGRUNPARK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84160.0,22016.0,
117,HIGHLANDTOWN,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,12,1384,1380.0,4.0,,3.0,2666.0,1779.0,336.0,25.0,36.0,0.0,396.0,94.0,750.0,1414.0,1252.0,201.0,145.0,67.0,73.0,283.0,664.0,391.0,563.0,279.0,534.0,306.0,112.0,87.0,33.0,141.0,54.0,1315.0,1077.0,637.0,440.0,238.0,85.0,43.0,110.0,18760.2877308,-155.0,-73.0,2.46982002,85149.0,28989.0,0.021
118,HILLEN,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5,976,976.0,,,3.0,2344.0,110.0,2178.0,2.0,10.0,0.0,10.0,34.0,24.0,1085.0,1259.0,146.0,187.0,89.0,91.0,277.0,289.0,260.0,669.0,336.0,584.0,254.0,76.0,62.0,27.0,268.0,111.0,980.0,898.0,679.0,219.0,82.0,39.0,20.0,23.0,13893.781802,-328.0,-84.0,2.61023998,55545.0,-87.0,
119,HOESHEIGHTS,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,13,464,450.0,14.0,11.0,,865.0,626.0,145.0,4.0,56.0,2.0,8.0,24.0,28.0,421.0,444.0,51.0,38.0,16.0,19.0,62.0,185.0,142.0,232.0,120.0,209.0,134.0,48.0,26.0,4.0,49.0,23.0,461.0,428.0,272.0,156.0,33.0,10.0,6.0,17.0,11157.1733356,-69.0,-11.0,2.02102994,75645.0,12728.0,0.03
120,HOLABIRDINDUSTRIALPARK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,105,94.0,11.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32197.0,-7366.0,
121,HOLLINSMARKET,50.0,3.0,18.0,8.0,0.0,2.0,0.0,6.0,54.0,71,1086,1053.0,33.0,20.0,4.0,1838.0,561.0,1169.0,6.0,39.0,1.0,21.0,41.0,53.0,947.0,891.0,101.0,130.0,49.0,63.0,205.0,412.0,303.0,474.0,101.0,343.0,128.0,47.0,55.0,11.0,160.0,94.0,1144.0,853.0,220.0,633.0,291.0,86.0,31.0,174.0,17184.872841,-212.0,1.0,2.1547501,45377.0,2008.0,0.08
122,HOMELAND,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1123,1121.0,2.0,1.0,,3201.0,2782.0,232.0,5.0,116.0,0.0,18.0,48.0,80.0,1558.0,1643.0,256.0,311.0,101.0,108.0,232.0,230.0,502.0,1028.0,433.0,827.0,742.0,380.0,23.0,14.0,62.0,29.0,1191.0,1143.0,1019.0,124.0,48.0,11.0,15.0,22.0,5198.64609599,113.0,8.0,2.6098001,120195.0,18471.0,0.049
123,HOPKINSBAYVIEW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,49,41.0,8.0,,,103.0,53.0,32.0,0.0,8.0,0.0,9.0,1.0,15.0,46.0,57.0,2.0,3.0,1.0,2.0,2.0,17.0,12.0,20.0,44.0,11.0,7.0,1.0,0.0,0.0,4.0,2.0,22.0,20.0,11.0,9.0,2.0,0.0,1.0,1.0,248.0192095,-355.0,-99.0,2.40000009,62782.0,20132.0,
124,HOWARDPARK,19.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,29.0,42,2110,2084.0,26.0,21.0,10.0,5929.0,174.0,5588.0,16.0,19.0,0.0,36.0,96.0,104.0,2737.0,3192.0,305.0,442.0,224.0,242.0,519.0,609.0,714.0,1799.0,1075.0,1438.0,671.0,185.0,146.0,44.0,621.0,235.0,2578.0,2335.0,1521.0,814.0,243.0,84.0,26.0,133.0,5606.72051356,-189.0,43.0,2.51777005,71315.0,27394.0,0.082
125,HUNTINGRIDGE,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3,462,455.0,7.0,1.0,1.0,1296.0,365.0,882.0,3.0,4.0,1.0,5.0,36.0,25.0,613.0,683.0,96.0,98.0,45.0,36.0,107.0,146.0,192.0,398.0,178.0,349.0,214.0,85.0,31.0,13.0,104.0,45.0,616.0,563.0,398.0,165.0,53.0,26.0,12.0,15.0,4949.81936793,125.0,46.0,2.30194997,80084.0,33386.0,0.022
126,IDLEWOOD,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,8,1044,1041.0,3.0,3.0,,2676.0,349.0,2228.0,1.0,25.0,1.0,23.0,49.0,65.0,1200.0,1476.0,173.0,256.0,114.0,129.0,253.0,401.0,384.0,754.0,212.0,700.0,316.0,146.0,64.0,24.0,320.0,160.0,1144.0,1084.0,848.0,236.0,60.0,15.0,34.0,11.0,12865.0766365,-34.0,4.0,2.46217989,68798.0,11133.0,0.062
127,INNERHARBOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1804,1770.0,34.0,,,1484.0,1144.0,125.0,2.0,158.0,0.0,22.0,33.0,81.0,758.0,726.0,58.0,17.0,1.0,3.0,93.0,460.0,240.0,447.0,165.0,317.0,277.0,45.0,17.0,6.0,23.0,8.0,1443.0,922.0,437.0,485.0,521.0,90.0,246.0,185.0,6147.42658185,843.0,502.0,1.58677005,109187.0,37279.0,
128,IRVINGTON,41.0,6.0,22.0,2.0,0.0,3.0,1.0,0.0,46.0,67,1299,1269.0,30.0,23.0,5.0,4167.0,429.0,3593.0,22.0,13.0,1.0,12.0,97.0,55.0,1863.0,2304.0,308.0,413.0,196.0,205.0,436.0,579.0,478.0,1130.0,422.0,983.0,340.0,126.0,107.0,47.0,536.0,307.0,1740.0,1510.0,713.0,797.0,230.0,82.0,20.0,128.0,4688.07101131,-234.0,-103.0,2.60595989,48398.0,7182.0,0.066
129,JOHNSHOPKINSHOMEWOOD,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,2.0,3.0,1.0,,669.0,394.0,28.0,1.0,203.0,1.0,9.0,33.0,41.0,364.0,305.0,4.0,0.0,0.0,5.0,646.0,8.0,4.0,2.0,0.0,4.0,1.0,1.0,1.0,0.0,2.0,2.0,13.0,9.0,3.0,6.0,4.0,3.0,0.0,1.0,2608.18357943,-1302.0,0.0,2.0,61398.0,13278.0,0.125
130,JOHNSTONSQUARE,151.0,1.0,174.0,3.0,3.0,0.0,0.0,2.0,161.0,324,1204,808.0,396.0,250.0,10.0,1906.0,36.0,1831.0,7.0,3.0,0.0,11.0,18.0,20.0,867.0,1039.0,112.0,154.0,80.0,87.0,197.0,189.0,200.0,640.0,247.0,452.0,114.0,32.0,49.0,17.0,289.0,103.0,1054.0,793.0,337.0,456.0,261.0,27.0,18.0,216.0,11154.1857041,-821.0,-174.0,2.40352988,41799.0,10152.0,0.099
131,JONESFALLSAREA,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5,47,27.0,20.0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80888.0,34121.0,
132,JONESTOWN,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,8,450,432.0,18.0,2.0,8.0,1367.0,318.0,918.0,8.0,67.0,0.0,21.0,35.0,63.0,786.0,581.0,101.0,122.0,28.0,33.0,120.0,302.0,185.0,433.0,43.0,228.0,80.0,37.0,13.0,8.0,135.0,84.0,432.0,381.0,127.0,254.0,51.0,30.0,13.0,8.0,10166.6275177,814.0,308.0,2.50656008,26690.0,-14504.0,0.029
133,KENILWORTHPARK,2.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,5.0,7,437,430.0,7.0,4.0,3.0,1206.0,25.0,1167.0,1.0,2.0,0.0,3.0,8.0,10.0,546.0,660.0,74.0,98.0,37.0,51.0,96.0,130.0,152.0,349.0,219.0,325.0,156.0,38.0,30.0,9.0,139.0,63.0,545.0,494.0,315.0,179.0,51.0,27.0,7.0,17.0,8315.42018599,-176.0,-47.0,2.44129991,40125.0,493.0,0.167
135,KERNEWOOD,6.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,7.0,7,223,222.0,1.0,1.0,1.0,726.0,326.0,354.0,0.0,19.0,0.0,12.0,15.0,20.0,330.0,396.0,46.0,63.0,35.0,34.0,66.0,76.0,92.0,219.0,95.0,166.0,99.0,52.0,16.0,6.0,51.0,23.0,321.0,256.0,200.0,56.0,65.0,8.0,4.0,53.0,10089.3991804,203.0,45.0,2.75,91083.0,30505.0,0.018
136,KESWICK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,379,375.0,4.0,,,650.0,553.0,42.0,0.0,39.0,0.0,0.0,16.0,13.0,294.0,356.0,34.0,44.0,20.0,13.0,22.0,63.0,106.0,212.0,136.0,181.0,151.0,54.0,6.0,3.0,24.0,12.0,322.0,313.0,273.0,40.0,9.0,3.0,1.0,5.0,8127.74761251,26.0,0.0,2.07667994,115781.0,38750.0,
137,KRESSON,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,7,251,249.0,2.0,1.0,2.0,440.0,201.0,116.0,2.0,13.0,0.0,97.0,11.0,145.0,247.0,193.0,30.0,36.0,17.0,18.0,54.0,92.0,72.0,97.0,24.0,86.0,31.0,17.0,19.0,4.0,36.0,22.0,191.0,152.0,47.0,105.0,39.0,19.0,4.0,16.0,1642.13775517,43.0,16.0,2.8947401,84562.0,54498.0,
138,LAKEEVESHAM,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,208,207.0,1.0,1.0,,543.0,427.0,90.0,2.0,5.0,0.0,3.0,16.0,11.0,275.0,268.0,39.0,47.0,12.0,13.0,80.0,72.0,88.0,142.0,50.0,123.0,87.0,41.0,9.0,4.0,27.0,19.0,253.0,228.0,146.0,82.0,25.0,8.0,10.0,7.0,7638.20983542,60.0,1.0,2.38158011,113834.0,29806.0,
139,LAKEWALKER,1.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,5,606,603.0,3.0,3.0,,2095.0,1063.0,762.0,3.0,89.0,5.0,119.0,54.0,183.0,955.0,1140.0,174.0,116.0,40.0,32.0,288.0,393.0,282.0,513.0,257.0,419.0,242.0,108.0,48.0,23.0,129.0,66.0,1190.0,1059.0,424.0,635.0,131.0,96.0,11.0,24.0,10322.495743,10.0,-97.0,1.96977996,72994.0,32691.0,0.015
140,LAKELAND,22.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,28.0,31,1443,1424.0,19.0,6.0,7.0,4551.0,1370.0,2509.0,12.0,132.0,3.0,421.0,104.0,889.0,2289.0,2262.0,403.0,537.0,195.0,216.0,492.0,813.0,590.0,968.0,337.0,1069.0,469.0,217.0,158.0,85.0,442.0,257.0,1739.0,1581.0,736.0,845.0,158.0,85.0,22.0,51.0,8303.39480187,271.0,47.0,2.87792992,43066.0,-4563.0,0.034
141,LANGSTONHUGHES,50.0,1.0,11.0,7.0,0.0,1.0,3.0,2.0,59.0,63,439,417.0,22.0,20.0,9.0,1036.0,9.0,1006.0,0.0,0.0,0.0,8.0,13.0,12.0,492.0,544.0,67.0,115.0,44.0,42.0,111.0,112.0,126.0,290.0,129.0,236.0,76.0,24.0,24.0,13.0,136.0,55.0,435.0,332.0,175.0,157.0,103.0,30.0,9.0,64.0,17131.9684654,-132.0,-48.0,3.12048006,31765.0,-14977.0,0.061
142,LAURAVILLE,11.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,14.0,35,1519,1489.0,30.0,23.0,3.0,4151.0,1698.0,2222.0,22.0,52.0,1.0,47.0,109.0,120.0,1930.0,2221.0,231.0,345.0,159.0,178.0,352.0,559.0,559.0,1241.0,527.0,944.0,562.0,205.0,80.0,34.0,302.0,143.0,1703.0,1549.0,1139.0,410.0,154.0,55.0,28.0,71.0,7019.96163541,-224.0,-78.0,2.58811998,84048.0,29493.0,0.011
143,LEVINDALE,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,4,251,247.0,4.0,3.0,2.0,1218.0,180.0,1018.0,5.0,1.0,0.0,0.0,14.0,10.0,564.0,654.0,39.0,53.0,22.0,34.0,75.0,72.0,87.0,352.0,484.0,197.0,82.0,14.0,20.0,5.0,95.0,41.0,531.0,493.0,182.0,311.0,38.0,31.0,0.0,7.0,8239.65943807,-21.0,-2.0,1.89249002,31380.0,11170.0,0.098
144,LIBERTYSQUARE,13.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,14.0,17,165,159.0,6.0,4.0,1.0,770.0,9.0,740.0,1.0,2.0,0.0,9.0,9.0,3.0,323.0,447.0,41.0,42.0,15.0,35.0,74.0,88.0,91.0,214.0,170.0,174.0,52.0,14.0,25.0,5.0,97.0,41.0,405.0,371.0,83.0,288.0,34.0,16.0,3.0,15.0,6580.01691402,9.0,55.0,2.07546997,33750.0,18088.0,0.067
145,LITTLEITALY,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5,368,363.0,5.0,,1.0,576.0,494.0,21.0,0.0,21.0,0.0,21.0,19.0,50.0,300.0,276.0,27.0,6.0,2.0,1.0,51.0,169.0,91.0,134.0,95.0,105.0,72.0,17.0,12.0,1.0,21.0,3.0,393.0,322.0,172.0,150.0,71.0,33.0,16.0,22.0,11512.310429,23.0,35.0,1.78882002,55724.0,7707.0,0.016
146,LOCHRAVEN,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,9,1464,1457.0,7.0,3.0,1.0,6163.0,505.0,5422.0,4.0,120.0,0.0,22.0,90.0,110.0,2557.0,3606.0,347.0,474.0,191.0,216.0,653.0,914.0,701.0,1647.0,1020.0,1401.0,614.0,184.0,125.0,53.0,662.0,322.0,2978.0,2838.0,1143.0,1695.0,140.0,62.0,23.0,55.0,10803.7672261,133.0,92.0,2.10747003,50067.0,1544.0,0.036
147,LOCUSTPOINT,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1473,1453.0,20.0,1.0,1.0,2138.0,2019.0,27.0,7.0,53.0,1.0,10.0,21.0,37.0,1081.0,1057.0,117.0,55.0,23.0,30.0,173.0,714.0,319.0,508.0,199.0,461.0,355.0,103.0,39.0,10.0,67.0,18.0,1292.0,1046.0,741.0,305.0,246.0,40.0,127.0,79.0,15919.5955366,209.0,151.0,2.03823995,139730.0,52907.0,0.5
148,LOCUSTPOINTINDUSTRIALAREA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,232,222.0,10.0,,,642.0,547.0,33.0,1.0,31.0,0.0,9.0,21.0,23.0,336.0,306.0,69.0,13.0,2.0,3.0,60.0,199.0,121.0,137.0,38.0,159.0,139.0,52.0,12.0,5.0,8.0,1.0,388.0,289.0,230.0,59.0,99.0,20.0,55.0,24.0,804.35471514,565.0,260.0,2.20414996,135125.0,42896.0,
149,LOWEREDMONDSONVILLAGE,20.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,23.0,31,232,222.0,10.0,10.0,3.0,446.0,0.0,442.0,0.0,0.0,0.0,0.0,4.0,3.0,188.0,258.0,27.0,51.0,15.0,27.0,50.0,51.0,39.0,127.0,59.0,100.0,23.0,7.0,11.0,5.0,66.0,23.0,169.0,134.0,83.0,51.0,35.0,7.0,5.0,23.0,19746.624162,-34.0,-33.0,3.32836008,34595.0,-14398.0,0.04
150,LOWERHERRINGRUNPARK,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2,9,,9.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46715.0,-1038.0,0.117
151,LOYOLA/NOTREDAME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,31,30.0,1.0,,,3208.0,2780.0,188.0,7.0,108.0,1.0,40.0,84.0,158.0,1195.0,2013.0,2.0,0.0,2.0,6.0,3132.0,32.0,3.0,22.0,9.0,13.0,11.0,4.0,1.0,0.0,1.0,0.0,15.0,15.0,13.0,2.0,0.0,0.0,0.0,0.0,10665.5576581,-864.0,-481.0,2.66667008,250000.0,-1.0,
152,LUCILLEPARK,36.0,0.0,14.0,16.0,0.0,0.0,2.0,13.0,41.0,51,272,253.0,19.0,17.0,5.0,567.0,9.0,548.0,3.0,1.0,0.0,0.0,6.0,5.0,301.0,266.0,40.0,48.0,11.0,24.0,64.0,59.0,99.0,172.0,50.0,110.0,26.0,8.0,11.0,5.0,73.0,28.0,220.0,159.0,75.0,84.0,61.0,7.0,1.0,53.0,5409.76194567,51.0,-1.0,3.05660009,32567.0,-4411.0,0.01
153,MADISONPARK,16.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,16.0,26,322,306.0,16.0,12.0,,2134.0,305.0,1730.0,8.0,31.0,2.0,9.0,49.0,38.0,986.0,1148.0,191.0,215.0,62.0,65.0,317.0,379.0,237.0,502.0,166.0,403.0,93.0,25.0,39.0,20.0,271.0,191.0,1316.0,1033.0,101.0,932.0,283.0,147.0,13.0,123.0,13414.1842004,-6.0,-55.0,1.98837995,22209.0,814.0,0.036
154,MADISON-EASTEND,95.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,117.0,97,918,915.0,3.0,2.0,22.0,2487.0,54.0,2371.0,10.0,6.0,0.0,15.0,31.0,53.0,1141.0,1346.0,271.0,297.0,112.0,152.0,293.0,316.0,294.0,555.0,197.0,599.0,151.0,54.0,66.0,27.0,382.0,200.0,916.0,746.0,312.0,434.0,170.0,73.0,6.0,91.0,23846.2791761,30.0,1.0,3.31903004,33650.0,-5481.0,0.25
155,MAYFIELD,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,369,369.0,,,,861.0,638.0,166.0,1.0,17.0,0.0,3.0,36.0,24.0,404.0,457.0,59.0,43.0,25.0,27.0,63.0,96.0,126.0,328.0,94.0,224.0,172.0,66.0,10.0,3.0,42.0,18.0,375.0,354.0,319.0,35.0,21.0,2.0,9.0,10.0,6621.6436321,-95.0,-15.0,2.41525006,99500.0,35913.0,0.023
156,MCELDERRYPARK,169.0,8.0,11.0,3.0,0.0,4.0,0.0,3.0,226.0,184,1818,1794.0,24.0,14.0,57.0,4033.0,382.0,3238.0,33.0,48.0,0.0,190.0,142.0,473.0,1916.0,2117.0,411.0,524.0,202.0,230.0,533.0,615.0,522.0,790.0,206.0,877.0,229.0,107.0,109.0,43.0,539.0,325.0,1719.0,1172.0,341.0,831.0,547.0,187.0,52.0,308.0,31890.6680099,-426.0,-156.0,3.43857002,54519.0,19545.0,0.077
157,MEDFIELD,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1254,1240.0,14.0,5.0,,2748.0,2074.0,337.0,7.0,216.0,0.0,48.0,66.0,113.0,1323.0,1425.0,141.0,158.0,77.0,58.0,251.0,671.0,425.0,669.0,298.0,634.0,419.0,149.0,50.0,28.0,165.0,84.0,1406.0,1327.0,787.0,540.0,79.0,39.0,17.0,23.0,10561.277269,-12.0,-8.0,2.07083988,56250.0,3025.0,0.025
158,MEDFORD,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2,352,349.0,3.0,1.0,2.0,1412.0,664.0,379.0,16.0,35.0,2.0,251.0,65.0,423.0,721.0,691.0,107.0,101.0,25.0,46.0,165.0,281.0,202.0,342.0,143.0,317.0,152.0,50.0,56.0,21.0,109.0,56.0,610.0,578.0,202.0,376.0,32.0,21.0,2.0,9.0,9168.29518053,229.0,24.0,2.44290995,28289.0,8143.0,0.012
159,MID-GOVANS,12.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,16.0,14,574,568.0,6.0,2.0,4.0,1465.0,135.0,1271.0,2.0,21.0,0.0,1.0,35.0,18.0,661.0,804.0,103.0,150.0,66.0,77.0,153.0,188.0,185.0,390.0,153.0,352.0,149.0,58.0,30.0,14.0,173.0,78.0,596.0,512.0,349.0,163.0,84.0,27.0,13.0,44.0,11370.9227161,-75.0,-47.0,2.84570002,43458.0,-9434.0,0.072
160,MID-TOWNBELVEDERE,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,9,1797,1787.0,10.0,4.0,,3830.0,2298.0,1001.0,17.0,329.0,0.0,39.0,146.0,178.0,1957.0,1873.0,66.0,45.0,9.0,15.0,655.0,1468.0,520.0,761.0,291.0,365.0,261.0,37.0,42.0,9.0,62.0,21.0,3005.0,2550.0,413.0,2137.0,455.0,263.0,31.0,161.0,17337.8239361,636.0,325.0,1.44471001,39630.0,5776.0,0.016
161,MIDDLEBRANCH/REEDBIRDPARKS,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2,19,6.0,13.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41800.0,6910.0,
162,MIDDLEEAST,98.0,19.0,59.0,3.0,0.0,10.0,0.0,2.0,129.0,167,1277,908.0,369.0,59.0,31.0,1484.0,54.0,1408.0,2.0,6.0,0.0,8.0,6.0,26.0,667.0,817.0,117.0,152.0,41.0,63.0,158.0,174.0,146.0,376.0,257.0,313.0,86.0,23.0,43.0,15.0,184.0,100.0,913.0,628.0,155.0,473.0,285.0,32.0,7.0,246.0,7494.42229724,-2069.0,-518.0,2.33438992,34865.0,-4713.0,0.051
163,MIDTOWN-EDMONDSON,340.0,1.0,31.0,26.0,0.0,1.0,10.0,13.0,370.0,374,1167,1065.0,102.0,70.0,30.0,1663.0,19.0,1623.0,1.0,1.0,0.0,5.0,14.0,7.0,807.0,856.0,102.0,174.0,56.0,88.0,206.0,199.0,179.0,474.0,185.0,382.0,99.0,26.0,50.0,12.0,233.0,94.0,1112.0,544.0,211.0,333.0,568.0,28.0,10.0,530.0,11118.8898587,-665.0,-255.0,3.0569899,28145.0,-2478.0,0.021
164,MILLHILL,117.0,3.0,15.0,5.0,0.0,2.0,0.0,5.0,137.0,133,795,779.0,16.0,12.0,21.0,1787.0,711.0,917.0,8.0,36.0,1.0,54.0,60.0,93.0,846.0,941.0,149.0,202.0,76.0,92.0,191.0,227.0,200.0,466.0,184.0,374.0,159.0,66.0,40.0,13.0,175.0,103.0,843.0,672.0,224.0,448.0,171.0,36.0,10.0,125.0,8517.81061801,-63.0,-34.0,2.65922999,44948.0,14879.0,0.03
