,Neighborhood,VAC:PROG,REC:PROG,ADOPT:PROG,BID:PROG,VACandADOPT,VACandREC,VACandBID,ADOPTandBID,REAL:Vacant,AnyProgram,TotalParcels,NotCityOwned,CityOwned,CityOwnedProgramSubset,AdditionalVacants,population,white,blk_afam,amind_akna,asian,nathaw_pac,other_race,twoormore,hisp_lat,male,female,age0_4,age5_11,age12_14,age15_17,age18_24,age25_34,age35_44,age45_64,age65ovr,families,married,married18,malehh,malehh18,femalehh,femalehh18,housing,occupied,occ_own,occ_rent,vacant,vac_rent,vac_sale,vac_other,pop_dens,pop_chng,hh_chng,avehhsize,2019MedianIncome,MedianIncomeChangeFrom2011,2019PercentPublicAssistance
22,BOYD-BOOTH,140.0,0.0,22.0,10.0,0.0,0.0,9.0,1.0,163.0,162,501,441.0,60.0,43.0,24.0,822.0,25.0,776.0,3.0,1.0,0.0,0.0,17.0,8.0,408.0,414.0,60.0,94.0,26.0,40.0,98.0,106.0,89.0,232.0,77.0,187.0,39.0,13.0,21.0,9.0,127.0,54.0,430.0,275.0,74.0,201.0,155.0,9.0,10.0,136.0,21222.556703,-164.0,-38.0,2.98908996,32344.0,11647.0,
23,BREWERSHILL,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2,826,824.0,2.0,1.0,1.0,1511.0,1249.0,56.0,24.0,39.0,1.0,104.0,38.0,171.0,737.0,774.0,79.0,56.0,24.0,19.0,129.0,526.0,200.0,309.0,169.0,289.0,182.0,49.0,38.0,16.0,69.0,24.0,754.0,691.0,477.0,214.0,63.0,16.0,18.0,29.0,16947.7876045,17.0,14.0,2.18669009,111704.0,42021.0,0.01
24,BRIDGEVIEW/GREENLAWN,29.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,37.0,35,730,720.0,10.0,3.0,8.0,1975.0,7.0,1943.0,4.0,2.0,0.0,1.0,18.0,11.0,874.0,1101.0,119.0,162.0,61.0,84.0,183.0,223.0,243.0,663.0,237.0,460.0,141.0,33.0,61.0,19.0,258.0,101.0,927.0,848.0,394.0,454.0,79.0,25.0,7.0,47.0,6971.33021795,-335.0,-47.0,2.32901,37906.0,6579.0,0.076
25,BROADWAYEAST,799.0,7.0,328.0,109.0,2.0,3.0,17.0,59.0,916.0,1163,3845,3173.0,672.0,404.0,118.0,4931.0,117.0,4681.0,15.0,17.0,2.0,15.0,84.0,65.0,2217.0,2714.0,456.0,478.0,205.0,245.0,547.0,571.0,588.0,1272.0,569.0,1082.0,243.0,85.0,141.0,55.0,698.0,351.0,2617.0,1680.0,642.0,1038.0,937.0,219.0,39.0,679.0,14237.4010178,-1905.0,-523.0,2.87142992,34948.0,10610.0,0.073
26,BROENINGMANOR,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6,668,665.0,3.0,1.0,1.0,1726.0,1062.0,343.0,28.0,18.0,1.0,231.0,43.0,429.0,847.0,879.0,130.0,133.0,42.0,74.0,167.0,264.0,225.0,464.0,227.0,390.0,213.0,76.0,48.0,22.0,129.0,58.0,706.0,663.0,352.0,311.0,43.0,29.0,8.0,6.0,10615.8612734,56.0,-33.0,2.60331988,31985.0,4568.0,0.066
27,BROOKLYN,165.0,3.0,12.0,3.0,0.0,3.0,0.0,1.0,204.0,179,3143,3108.0,35.0,16.0,39.0,9996.0,4788.0,4051.0,52.0,148.0,2.0,502.0,453.0,1149.0,4870.0,5126.0,1055.0,1163.0,378.0,390.0,1132.0,1740.0,1237.0,2242.0,659.0,2279.0,937.0,423.0,320.0,171.0,1022.0,647.0,4343.0,3597.0,1282.0,2315.0,746.0,450.0,103.0,193.0,11714.2736389,867.0,-10.0,2.77870011,41670.0,5142.0,0.073
28,BURLEITH-LEIGHTON,5.0,2.0,17.0,0.0,0.0,1.0,0.0,0.0,7.0,23,358,342.0,16.0,15.0,2.0,737.0,5.0,711.0,2.0,0.0,0.0,0.0,19.0,3.0,330.0,407.0,55.0,57.0,23.0,26.0,70.0,90.0,72.0,211.0,133.0,187.0,55.0,12.0,23.0,4.0,109.0,40.0,327.0,291.0,196.0,95.0,36.0,4.0,3.0,29.0,8718.87755314,33.0,-3.0,2.53264999,32645.0,-933.0,0.072
29,BUTCHER'SHILL,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4,841,839.0,2.0,,4.0,1889.0,1320.0,349.0,45.0,68.0,0.0,70.0,37.0,130.0,932.0,957.0,123.0,63.0,29.0,28.0,191.0,634.0,328.0,361.0,132.0,351.0,238.0,79.0,22.0,9.0,91.0,34.0,1025.0,888.0,454.0,434.0,137.0,42.0,38.0,57.0,24329.1299953,1.0,28.0,2.10247993,88464.0,14596.0,
30,CALLAWAY-GARRISON,16.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,18.0,20,552,549.0,3.0,2.0,3.0,1798.0,35.0,1720.0,9.0,7.0,0.0,7.0,20.0,11.0,819.0,979.0,97.0,130.0,57.0,70.0,197.0,224.0,233.0,516.0,274.0,443.0,174.0,44.0,52.0,16.0,217.0,73.0,769.0,657.0,368.0,289.0,112.0,14.0,9.0,89.0,9447.99100767,-165.0,-26.0,2.72603011,49009.0,10072.0,0.093
31,CAMERONVILLAGE,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3,549,548.0,1.0,,1.0,1435.0,48.0,1353.0,7.0,0.0,1.0,11.0,15.0,32.0,642.0,793.0,101.0,127.0,41.0,67.0,145.0,215.0,169.0,414.0,156.0,368.0,139.0,41.0,39.0,18.0,190.0,104.0,725.0,630.0,335.0,295.0,95.0,47.0,7.0,41.0,13819.0422776,-158.0,-18.0,2.27143001,43174.0,8157.0,0.069
32,CANTON,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,11,6526,6507.0,19.0,1.0,8.0,12192.0,10811.0,485.0,45.0,383.0,11.0,222.0,235.0,641.0,6017.0,6175.0,512.0,232.0,80.0,88.0,1253.0,4835.0,1738.0,2192.0,1262.0,2126.0,1603.0,387.0,198.0,55.0,325.0,91.0,7336.0,6406.0,3893.0,2513.0,930.0,325.0,212.0,393.0,21371.724141,1305.0,855.0,1.87871003,122912.0,47852.0,0.011
33,CANTONINDUSTRIALAREA,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5,305,282.0,23.0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107688.0,62538.0,
34,CARE,34.0,4.0,76.0,16.0,0.0,0.0,0.0,15.0,46.0,115,890,800.0,90.0,77.0,12.0,1151.0,102.0,969.0,1.0,47.0,5.0,10.0,17.0,41.0,518.0,633.0,76.0,84.0,34.0,50.0,109.0,144.0,148.0,287.0,219.0,248.0,77.0,23.0,30.0,13.0,141.0,56.0,693.0,501.0,158.0,343.0,192.0,65.0,20.0,107.0,13582.5589072,-714.0,-207.0,2.24950003,51696.0,26037.0,0.036
35,CARROLL-CAMDENINDUSTRIALAREA,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,5,177,161.0,16.0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
36,CARROLLPARK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7,5.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53929.0,-3299.0,
37,CARROLL-SOUTHHILTON,63.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,67.0,69,717,702.0,15.0,6.0,4.0,1370.0,40.0,1315.0,1.0,1.0,0.0,1.0,12.0,13.0,630.0,740.0,84.0,131.0,44.0,62.0,142.0,177.0,169.0,367.0,194.0,340.0,101.0,24.0,47.0,15.0,192.0,76.0,625.0,518.0,315.0,203.0,107.0,27.0,11.0,69.0,2824.168215,-182.0,-54.0,2.63513994,38585.0,12367.0,0.016
38,CARROLLTONRIDGE,692.0,9.0,41.0,42.0,0.0,5.0,6.0,23.0,792.0,750,2294,2197.0,97.0,81.0,101.0,3645.0,1222.0,2162.0,10.0,80.0,1.0,65.0,105.0,108.0,1752.0,1893.0,327.0,467.0,173.0,198.0,393.0,484.0,507.0,878.0,218.0,782.0,234.0,108.0,136.0,61.0,412.0,242.0,1988.0,1145.0,322.0,823.0,843.0,176.0,51.0,616.0,16354.4109497,-1180.0,-521.0,3.17118,32008.0,2277.0,0.086
39,CEDARCROFT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,241,241.0,,,,726.0,633.0,45.0,1.0,28.0,0.0,3.0,16.0,25.0,352.0,374.0,54.0,101.0,26.0,21.0,31.0,35.0,127.0,236.0,95.0,192.0,175.0,94.0,2.0,1.0,15.0,9.0,277.0,263.0,237.0,26.0,14.0,5.0,4.0,5.0,5429.42693465,137.0,36.0,2.74144005,115243.0,40974.0,
40,CEDMONT,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6,1076,1071.0,5.0,,1.0,2594.0,1175.0,1307.0,10.0,50.0,0.0,16.0,36.0,66.0,1226.0,1368.0,174.0,214.0,96.0,117.0,205.0,365.0,391.0,757.0,275.0,626.0,382.0,166.0,57.0,20.0,187.0,78.0,1074.0,976.0,796.0,180.0,98.0,33.0,25.0,40.0,6899.17136823,13.0,-32.0,2.64548993,70005.0,17843.0,
