BlockLot,StreetName,HouseNum,Dir,StreetType,Zip,Neighborhood,Lawyer,Project Name,Receiver Appointed,Auction Date,x,y
1653034,MCELDERRY,2251,,ST,21205,MIDDLE EAST,EVAN HELFRICH,Helfrich Special,"December 10, 2019",,,
8472010,FAIRFAX,4509,,ROAD,21216,WINDSOR HILLS,BLAIR GRIFFITH,,"March 3, 2020",,,
2901016,SPRINGDALE,3716,,AVE,21216,FOREST PARK,BLAIR GRIFFITH,,"December 3, 2019",,,
2948011,BELLE,3812,,AVE,21215,CALLAWAY-GARRISON,BLAIR GRIFFITH,,"March 25, 2019",,,
2949029,COLD SPRING,3801,W,LANE,21215,CALLAWAY-GARRISON,BLAIR GRIFFITH,,"January 14, 2020",,,
4616090,OAKLEY,2915,,AVE,21215,CENTRAL PARK HEIGHTS,BLAIR GRIFFITH,2900- 3000 Oakley Ave,"May 14, 2019",,,
1686021,CHESTER,216,N,ST,21231,MIDDLE EAST,EVAN HELFRICH,Duncan Street,"January 28, 2020",,,
0388018,NORTH,27,W,AVE,21201,CHARLES NORTH,EILEEN MURPHY,,"November 3, 2020",,,
3405024,NORTH,1618,W,AVE,21217,PENN NORTH,SHEA BEITLER-AKMAN,,"July 24, 2019",,,
0851070,WYETH,503,,ST,21230,WASHINGTON VILLAGE,SHEA BEITLER-AKMAN,Pigtown Phase 9,"June 4, 2019",,,
0922037,HAMBURG,751,W,ST,21230,WASHINGTON VILLAGE,SHEA BEITLER-AKMAN,Scott St,"January 22, 2019",,,
2377A079,RAYNER,2751,,AVE,21216,MOSHER,SHEA BEITLER-AKMAN,,"August 13, 2019",,,
2424B036,ROSEDALE,1635,N,ST,,ROSEMONT,SHEA BEITLER-AKMAN,,"February 26, 2019",,,
4616074,OAKLEY,3015,,AVE,21215,CENTRAL PARK HEIGHTS,BLAIR GRIFFITH,2900- 3000 Oakley Ave,"May 28, 2019",,,
5121001,YORK,6213,,ROAD,21212,LAKE WALKER,KENT GRASSO,,"June 4, 2019",,,
2140002,FREDERICK,2613,,AVE,21223,MILLHILL,SHEA BEITLER-AKMAN,,"May 11, 2021",,,
