X,Y,OBJECTID,OBJECTID_1,ID_RS_Web,BLOCKLOT,Address,DateFiled,ReceiverAppointed,DateAuction,SoldAtAuction,Neighborhood,Council_District,HousingMarketTypology2017
1423521.97285339,614101.327823058,594,892929,6984,5165 071,703 MCCABE AVE,2020/11/18 00:00:00+00,,2021/12/07 00:00:00+00,2021/12/07 00:00:00+00,WINSTON-GOVANS                           ,4,E
1423055.24839313,614182.942817315,595,892948,6322,5165 091,509 MCCABE AVE,2019/09/25 00:00:00+00,,,,WINSTON-GOVANS                           ,4,E
1423434.84015363,614251.832115233,596,893013,6074,5165B012,622 MCCABE AVE,2019/02/25 00:00:00+00,,,,WOODBOURNE-MCCABE                        ,4,H
1423562.90026496,614218.364662483,597,893051,5859,5165C002,702 MCCABE AVE,2019/01/15 00:00:00+00,2020/03/11 00:00:00+00,,,WOODBOURNE-MCCABE                        ,4,H
1425548.40023097,613686.336855143,598,893208,6273,5172 008B,5203 KENILWORTH AVE,2019/06/21 00:00:00+00,,,,KENILWORTH PARK                          ,4,F
1422982.50017905,613797.930135891,599,893250,6266,5173 016,503 BEAUMONT AVE,2019/07/16 00:00:00+00,,,,WINSTON-GOVANS                           ,4,E
1423107.56324914,613506.559655637,600,893297,6483,5173 069,529 CHATEAU AVE,2019/12/02 00:00:00+00,,,,WINSTON-GOVANS                           ,4,E
1423862.83372022,613545.589105144,601,893363,4771,5173A009,5106 IVANHOE AVE,2017/08/08 00:00:00+00,,,,WINSTON-GOVANS                           ,4,E
1423868.86028297,613591.185142562,602,893364,6034,5173A010,5108 IVANHOE AVE,2019/03/08 00:00:00+00,2019/09/04 00:00:00+00,,,WINSTON-GOVANS                           ,4,E
1424449.02513313,613275.620156899,603,893382,2579,5173B009,816 WINSTON AVE,2007/10/23 00:00:00+00,,,,WINSTON-GOVANS                           ,4,E
1423872.34026289,611977.520390898,604,893779,6267,5183 081,731 RICHWOOD AVE,2019/07/31 00:00:00+00,,,,RICHNOR SPRINGS                          ,4,H
1423365.98825721,610858.613179892,605,894059,6256,5197 012A,549 OAKLAND AVE,2019/07/31 00:00:00+00,2020/01/22 00:00:00+00,2021/12/07 00:00:00+00,2021/12/07 00:00:00+00,WILSON PARK                              ,4,H
