,BLOCKLOT,VAC:PROG,VAC:Neighborhood,VAC:Typology
191,1570059,1,MIDDLE EAST,J
192,0204051,1,BOYD-BOOTH,J
193,0376038,1,UPTON,H
194,5210H046,1,IDLEWOOD,D
195,1157055,1,JOHNSTON SQUARE,H
196,2201024,1,ROSEMONT HOMEOWNERS/TENANTS,I
197,1102052,1,OLIVER,I
198,1099A033,1,OLIVER,J
199,2377D035,1,MOSHER,I
200,1655078,1,MCELDERRY PARK,H
201,2439005,1,ROSEMONT,G
202,3232A005,1,PARKVIEW/WOODBROOK,I
203,0084071,1,HARLEM PARK,J
204,7900G001D,1,FRANKLINTOWN,E
205,0288008,1,CARROLLTON RIDGE,J
206,3413041,1,PENN NORTH,I
207,0082016,1,MIDTOWN-EDMONDSON,J
208,1131004,1,OLIVER,H
209,0128036,1,HARLEM PARK,I
210,3303021,1,CENTRAL PARK HEIGHTS,I
211,2152013C,1,SHIPLEY HILL,J
212,0262039,1,NEW SOUTHWEST/MOUNT CLARE,I
213,7644079,1,CHERRY HILL,G
214,0288054,1,CARROLLTON RIDGE,J
215,0239056,1,CARROLLTON RIDGE,J
216,0320005,1,UPTON,I
217,0179033,1,FRANKLIN SQUARE,G
218,1154031,1,JOHNSTON SQUARE,J
219,2153057,1,PENROSE/FAYETTE STREET OUTREACH,I
220,1447052,1,BROADWAY EAST,J
221,2332D030,1,ROSEMONT,I
222,1101036,1,OLIVER,I
223,2394011,1,MOSHER,I
224,2153082,1,PENROSE/FAYETTE STREET OUTREACH,I
225,0293032,1,SANDTOWN-WINCHESTER,J
226,2377A079,1,MOSHER,J
227,0119052,1,MIDTOWN-EDMONDSON,J
228,0192049,1,PENROSE/FAYETTE STREET OUTREACH,J
229,2401A016,1,COPPIN HEIGHTS/ASH-CO-EAST,I
230,0273003,1,CARROLLTON RIDGE,J
231,2380021,1,MOSHER,J
232,1660024,1,ELLWOOD PARK/MONUMENT,I
233,0697010,1,CARROLLTON RIDGE,J
234,0222037,1,BOYD-BOOTH,J
235,2213B026M,1,ROSEMONT HOMEOWNERS/TENANTS,I
236,0016011,1,SANDTOWN-WINCHESTER,I
237,0009005,1,SANDTOWN-WINCHESTER,I
238,1109074,1,OLIVER,I
239,2303037,1,COPPIN HEIGHTS/ASH-CO-EAST,I
240,7446006,1,WESTPORT,H
241,3203039,1,MONDAWMIN,I
242,0189017,1,PENROSE/FAYETTE STREET OUTREACH,J
243,0064009,1,SANDTOWN-WINCHESTER,H
244,4158005,1,SOUTH CLIFTON PARK,J
245,1448036,1,BROADWAY EAST,I
246,1448035,1,BROADWAY EAST,I
247,3190B015,1,TOWANDA-GRANTLEY,J
248,1446016,1,BROADWAY EAST,I
249,3228C029,1,PARKVIEW/WOODBROOK,I
250,0314084,1,DRUID HEIGHTS,I
