REAL:Neighborhood,VAC:PROG,REC:PROG,ADOPT:PROG,BID:PROG,DEMO:PROG,CityOwned,CITYandANY,CITYandADOPT,CITYandDEMO,CITYandVAC,VACandREC,AnyProgram,TotalParcels
IRVINGTON                                ,47.0,13.0,22.0,2.0,5.0,30,23,22.0,2.0,1.0,9.0,77,1300
JOHNS HOPKINS HOMEWOOD                   ,0.0,0.0,1.0,0.0,0.0,3,1,1.0,0.0,0.0,0.0,1,5
JOHNSTON SQUARE                          ,161.0,6.0,174.0,3.0,64.0,396,305,174.0,59.0,80.0,4.0,393,1204
JONES FALLS AREA                         ,0.0,0.0,5.0,0.0,1.0,20,6,5.0,1.0,0.0,0.0,6,47
JONESTOWN                                ,14.0,4.0,2.0,0.0,0.0,18,2,2.0,0.0,0.0,4.0,16,450
KENILWORTH PARK                          ,5.0,3.0,3.0,1.0,0.0,7,4,3.0,0.0,0.0,1.0,11,437
KENNETH SQUARE                           ,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,3
KERNEWOOD                                ,7.0,5.0,1.0,0.0,0.0,1,1,1.0,0.0,0.0,4.0,9,223
KESWICK                                  ,0.0,0.0,0.0,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0,379
KRESSON                                  ,8.0,0.0,1.0,0.0,0.0,2,1,1.0,0.0,0.0,0.0,9,251
LAKE EVESHAM                             ,1.0,0.0,1.0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,2,208
LAKE WALKER                              ,1.0,2.0,2.0,1.0,0.0,3,3,2.0,0.0,0.0,1.0,5,606
LAKELAND                                 ,29.0,6.0,5.0,1.0,0.0,19,6,5.0,0.0,0.0,3.0,38,1443
LANGSTON HUGHES                          ,59.0,2.0,11.0,7.0,14.0,22,20,11.0,3.0,7.0,2.0,83,439
LAURAVILLE                               ,14.0,3.0,23.0,0.0,2.0,30,23,23.0,0.0,0.0,2.0,40,1519
LEVINDALE                                ,3.0,1.0,3.0,0.0,0.0,4,3,3.0,0.0,0.0,1.0,6,251
LIBERTY SQUARE                           ,14.0,3.0,4.0,0.0,0.0,6,4,4.0,0.0,0.0,2.0,19,165
LITTLE ITALY                             ,6.0,0.0,0.0,0.0,0.0,5,0,0.0,0.0,0.0,0.0,6,368
LOCH RAVEN                               ,7.0,0.0,3.0,0.0,0.0,7,3,3.0,0.0,0.0,0.0,10,1464
LOCUST POINT                             ,1.0,0.0,1.0,0.0,0.0,20,1,1.0,0.0,0.0,0.0,2,1473
LOCUST POINT INDUSTRIAL AREA             ,0.0,0.0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0,0,232
LOWER EDMONDSON VILLAGE                  ,23.0,3.0,10.0,0.0,0.0,10,10,10.0,0.0,0.0,2.0,34,232
LOWER HERRING RUN PARK                   ,0.0,0.0,2.0,0.0,0.0,9,2,2.0,0.0,0.0,0.0,2,9
LOYOLA/NOTRE DAME                        ,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0,31
LUCILLE PARK                             ,41.0,0.0,14.0,16.0,1.0,19,17,14.0,1.0,2.0,0.0,56,272
MADISON PARK                             ,16.0,3.0,10.0,0.0,1.0,16,12,10.0,0.0,2.0,2.0,28,322
MADISON-EASTEND                          ,117.0,2.0,1.0,1.0,2.0,3,2,1.0,0.0,1.0,1.0,121,918
MAYFIELD                                 ,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1,369
MCELDERRY PARK                           ,226.0,14.0,11.0,3.0,17.0,24,14,11.0,2.0,3.0,9.0,257,1818
MEDFIELD                                 ,0.0,0.0,6.0,0.0,0.0,14,5,5.0,0.0,0.0,0.0,6,1254
MEDFORD                                  ,3.0,0.0,1.0,0.0,0.0,3,1,1.0,0.0,0.0,0.0,4,352
MID-GOVANS                               ,16.0,7.0,2.0,0.0,0.0,6,2,2.0,0.0,0.0,3.0,22,574
MID-TOWN BELVEDERE                       ,5.0,0.0,4.0,0.0,0.0,10,4,4.0,0.0,0.0,0.0,9,1797
MIDDLE BRANCH/REEDBIRD PARKS             ,0.0,0.0,2.0,0.0,0.0,13,2,2.0,0.0,0.0,0.0,2,19
MIDDLE EAST                              ,129.0,25.0,59.0,3.0,45.0,369,79,44.0,22.0,16.0,20.0,236,1277
MIDTOWN-EDMONDSON                        ,370.0,6.0,31.0,26.0,139.0,102,95,31.0,35.0,36.0,6.0,532,1167
MILLHILL                                 ,139.0,4.0,15.0,5.0,7.0,16,12,12.0,1.0,0.0,4.0,160,796
MILTON-MONTFORD                          ,102.0,11.0,23.0,3.0,88.0,74,71,23.0,55.0,2.0,4.0,211,807
MONDAWMIN                                ,324.0,1.0,12.0,3.0,75.0,46,42,12.0,23.0,8.0,1.0,410,1389
MONTEBELLO                               ,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,0,18
MORAVIA-WALTHER                          ,1.0,0.0,3.0,0.0,0.0,3,3,3.0,0.0,0.0,0.0,4,421
MORGAN PARK                              ,0.0,0.0,1.0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,1,146
MORGAN STATE UNIVERSITY                  ,0.0,0.0,1.0,0.0,0.0,6,1,1.0,0.0,0.0,0.0,1,12
MORRELL PARK                             ,46.0,7.0,4.0,0.0,3.0,32,5,4.0,1.0,0.0,4.0,56,1940
MOSHER                                   ,206.0,1.0,37.0,6.0,55.0,76,67,35.0,23.0,14.0,1.0,293,888
MOUNT HOLLY                              ,41.0,1.0,11.0,0.0,0.0,22,14,11.0,0.0,4.0,0.0,52,423
MOUNT VERNON                             ,6.0,0.0,4.0,0.0,2.0,23,4,3.0,2.0,1.0,0.0,10,1226
MOUNT WASHINGTON                         ,6.0,0.0,13.0,0.0,1.0,29,13,13.0,0.0,0.0,0.0,19,1647
MOUNT WINANS                             ,14.0,0.0,15.0,6.0,6.0,60,21,15.0,3.0,0.0,0.0,38,393
MT PLEASANT PARK                         ,0.0,0.0,0.0,0.0,0.0,6,0,0.0,0.0,0.0,0.0,0,7
NEW NORTHWOOD                            ,5.0,1.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,6,1245
NEW SOUTHWEST/MOUNT CLARE                ,269.0,12.0,17.0,12.0,46.0,40,36,17.0,4.0,12.0,7.0,340,1210
NORTH HARFORD ROAD                       ,15.0,3.0,8.0,0.0,0.0,9,8,8.0,0.0,0.0,3.0,23,2242
NORTH ROLAND PARK/POPLAR HILL            ,0.0,0.0,3.0,0.0,0.0,10,3,3.0,0.0,0.0,0.0,3,478
NORTHWEST COMMUNITY ACTION               ,190.0,0.0,13.0,0.0,22.0,27,22,13.0,4.0,6.0,0.0,223,778
O'DONNELL HEIGHTS                        ,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,28
OAKENSHAWE                               ,5.0,3.0,0.0,0.0,0.0,5,0,0.0,0.0,0.0,2.0,6,535
