NoticeNum,DateNotice,Shape,BLOCKLOT,NEIGHBOR,Council_District,Typology2017,OBJECTID,ESRI_OID,x,y
980663A,"June 7, 2013",,2275B015,SAINT JOSEPHS                            ,-536914968,H,803626,8126,1404984.492539972,590409.745285064
980432A,"June 5, 2013",,4552 006,ARLINGTON                                ,-536913960,I,875691,8350,1403645.7091283053,612722.300725475
979497A,"June 7, 2013",,3228B039,PARKVIEW/WOODBROOK                       ,-536913720,I,828096,9432,1412269.3339413851,600570.2275887281
97880A,"November 9, 2005",,4616 071,CENTRAL PARK HEIGHTS                     ,-536914056,I,877923,9461,1405531.0951213092,612329.5357629806
978751A,"May 31, 2013",,1449 102,BROADWAY EAST                            ,-536913288,I,766636,2763,1428455.767447725,599520.2283763885
978159A,"June 7, 2013",,3402 023,PENN NORTH                               ,-536913096,H,833257,1388,1412401.4960786402,599685.4127573073
97798A,"November 11, 2005",,4070A039,BETTER WAVERLY                           ,-536913816,J,858575,4895,1423144.6281356364,602629.9852802306
97776A,"November 9, 2005",,0164 120,FRANKLIN SQUARE                          ,-536914776,G,731956,11391,1412857.3511380553,592073.1806064695
977679A,"June 5, 2013",,0702 009,CARROLLTON RIDGE                         ,-536914824,J,749849,6789,1411609.5580299646,587966.0776002258
97763A,"November 9, 2005",,0271 015,CARROLLTON RIDGE                         ,-536915160,J,737382,5188,1410996.446067214,589023.780865401
97760A,"November 9, 2005",,0271 016,CARROLLTON RIDGE                         ,-536913672,J,737383,431,1410997.069753632,589011.183121562
97756A,"November 9, 2005",,0272 039,CARROLLTON RIDGE                         ,-536913048,J,737514,11152,1411141.304373309,588917.6298309714
977560A,"May 28, 2013",,2442 023A,ROSEMONT                                 ,-536914344,I,810368,10188,1405144.255015716,595710.1290412247
97743A,"November 9, 2005",,0272 058,CARROLLTON RIDGE                         ,-536914488,J,737533,4047,1411397.4249240607,588904.4074164778
977236A,"May 30, 2013",,3327F081,PARK CIRCLE                              ,-536915448,G,830800,2442,1409154.0091353059,606016.9748973101
977148A,"May 28, 2013",,0036A014,SANDTOWN-WINCHESTER                      ,-536915112,G,725136,2721,1414409.197771892,596577.3087373078
97708A,"November 9, 2005",,0273 080,CARROLLTON RIDGE                         ,-536915400,J,737654,7882,1411646.5595963895,589119.3472753167
97700A,"November 8, 2005",,4607 059,CENTRAL PARK HEIGHTS                     ,-536914584,J,877510,2584,1404538.6197440475,610552.6774400622
97698A,"November 8, 2005",,4608 030,CENTRAL PARK HEIGHTS                     ,-536915064,J,877560,11512,1404294.862029478,610280.9197814763
976979A,"May 24, 2013",,4550 004,ARLINGTON                                ,-536912808,I,875623,2338,1403030.6640985608,612212.334553808
976515A,"May 27, 2013",,2155 003,PENROSE/FAYETTE STREET OUTREACH          ,-536915544,I,799878,5342,1410471.5904896408,591602.7002482265
97649A,"November 8, 2005",,0275 005,CARROLLTON RIDGE                         ,-536915352,J,737779,311,1412770.9028201401,589232.9087279737
97579A,"November 8, 2005",,0243 086,CARROLLTON RIDGE                         ,-536914632,I,735755,2164,1412637.9874035567,589856.5160765648
97561A,"November 8, 2005",,0698 101,CARROLLTON RIDGE                         ,-536914296,J,749672,8583,1411743.5042843819,588430.1245723963
97560A,"November 8, 2005",,0288 031,CARROLLTON RIDGE                         ,-536915256,J,738773,9191,1410942.082330808,588531.2539633065
97515A,"November 8, 2005",,0699 031,CARROLLTON RIDGE                         ,-536915304,J,749713,4217,1411982.4237540513,588657.6031200588
97458A,"November 8, 2005",,0275 135,CARROLLTON RIDGE                         ,-536912712,J,737908,10634,1412716.9777311385,589077.5481463075
97374A,"November 8, 2005",,4575 007,LANGSTON HUGHES                          ,-536913144,I,876058,10415,1402668.303274721,611424.7272051424
97369A,"November 8, 2005",,3301 090,CENTRAL PARK HEIGHTS                     ,-536912664,I,829749,9890,1405135.6218308806,610040.7506423891
97365A,"November 8, 2005",,4595 018C,LANGSTON HUGHES                          ,-536914248,I,876928,10312,1403376.1991686374,610576.0320521444
97359A,"November 8, 2005",,4574 011,LANGSTON HUGHES                          ,-536913528,I,876004,11675,1402853.4639936388,611031.7840933949
97354A,"November 8, 2005",,0273 068,CARROLLTON RIDGE                         ,-536913480,J,737642,1315,1411678.9401090592,589202.0351020545
97336A,"November 8, 2005",,4595 032,LANGSTON HUGHES                          ,-536914872,I,876953,5465,1403486.964367047,610882.3391823173
