NoticeNum,DateNotice,Shape,BLOCKLOT,NEIGHBOR,Council_District,Typology2017,OBJECTID,ESRI_OID,x,y
1943158A,"October 9, 2020",,3196 005,LUCILLE PARK                             ,-447623496,J,826791,10959,1405139.38461864,609659.5535701364
1943154A,"October 9, 2020",,3065 007,HANLON-LONGWOOD                          ,-447623400,F,823493,8882,1404318.8209710568,601588.1481250674
1943149A,"February 5, 2021",,3403 047,PENN NORTH                               ,-447622488,I,833325,2403,1412707.6526185572,600005.0508975536
1942999A,"November 30, 2020",,0077 027,SANDTOWN-WINCHESTER                      ,-447621720,I,727475,9082,1414249.7856891304,594856.9578473121
194292A,"May 1, 2007",,0064 014,SANDTOWN-WINCHESTER                      ,-447621672,H,726741,2129,1414332.4941851348,595178.780366391
1942913A,"September 30, 2020",,4571 005A,LANGSTON HUGHES                          ,-447622248,I,875891,3021,1402034.6687152237,610589.657352984
1942631A,"October 2, 2020",,2299E005,ALLENDALE                                ,-447621624,H,805171,11020,1403351.6591914743,591245.0726826489
1942621A,"October 9, 2020",,3228A060,PARKVIEW/WOODBROOK                       ,-447618840,I,828055,886,1412540.8767053932,600084.6557252258
1942620A,"October 14, 2020",,3204 007,MONDAWMIN                                ,-447619176,I,827024,9790,1410458.5258832276,598653.3902150542
1942618A,"October 9, 2020",,2482B021,FRANKLINTOWN ROAD                        ,-447619320,J,811950,5577,1406779.016509965,593062.3594023883
1942614A,"October 9, 2020",,2441 041,ROSEMONT                                 ,-447618120,I,810339,265,1405321.5945560485,597185.6802239716
1942613A,"October 9, 2020",,2441 026,ROSEMONT                                 ,-447619272,I,810324,5507,1405186.7398388833,597459.4191778153
1942611A,"October 9, 2020",,2424B059,ROSEMONT                                 ,-447620328,I,809990,8453,1406143.2303799689,597311.1481488943
1942609A,"October 9, 2020",,2446B059,FRANKLINTOWN ROAD                        ,-447620088,I,810850,12679,1406828.4084715545,594992.3876945674
1942608A,"October 8, 2020",,2411 012,NORTHWEST COMMUNITY ACTION               ,-447618648,I,809740,437,1406856.7827586383,597849.3301433921
1942600A,"October 8, 2020",,2307A031,COPPIN HEIGHTS/ASH-CO-EAST               ,-447618888,I,805661,456,1409426.6191543937,598172.0542354733
1942599A,"October 1, 2020",,2306A001,COPPIN HEIGHTS/ASH-CO-EAST               ,-447617832,I,805545,9152,1409649.0629352182,597829.8400248885
1942598A,"October 1, 2020",,2303 007,COPPIN HEIGHTS/ASH-CO-EAST               ,-447618792,I,805394,3219,1410472.107548967,598433.452006638
1942595A,"October 1, 2020",,0122 033,HARLEM PARK                              ,-447618744,J,729993,6935,1413156.7717990577,593247.5040452331
1942593A,"October 1, 2020",,0120 060,HARLEM PARK                              ,-447620184,J,729855,6802,1412274.102304548,592867.9263923168
1942592A,"October 1, 2020",,0115 091,HARLEM PARK                              ,-447619080,I,729490,4516,1415767.8755007237,593736.2225559801
1942591A,"October 1, 2020",,0110 053,HARLEM PARK                              ,-447618696,J,729221,4280,1413271.5652046353,593398.9794640541
194258A,"April 30, 2007",,0273 079,CARROLLTON RIDGE                         ,-447618600,J,737653,5850,1411658.3548483849,589120.0421558172
1942589A,"October 1, 2020",,0102 006,HARLEM PARK                              ,-447618552,I,728691,8881,1414909.394934222,593993.3542595655
1942586A,"October 8, 2020",,2320 010,COPPIN HEIGHTS/ASH-CO-EAST               ,-447617976,I,806048,8576,1409806.7647195607,597553.3806040585
1942571A,"October 9, 2020",,2902 012,FOREST PARK                              ,-447617880,F,819858,6277,1403644.6668075472,604136.5236057341
1942566A,"October 9, 2020",,8239A009,WEST ARLINGTON                           ,-447619512,D,956742,10395,1399073.887891382,608389.5226456374
1942127A,"October 1, 2020",,0065 038,SANDTOWN-WINCHESTER                      ,-447618504,J,726825,6317,1414871.805770561,595318.2476071417
1942125A,"October 1, 2020",,0036A025,SANDTOWN-WINCHESTER                      ,-447618456,G,725147,5847,1414400.8690483868,596743.825464651
1942122A,"October 1, 2020",,0005 051,SANDTOWN-WINCHESTER                      ,-447620040,J,723502,5471,1413061.436031714,598520.9370678961
1942121A,"October 1, 2020",,0005 048,SANDTOWN-WINCHESTER                      ,-447618408,J,723499,9066,1413044.479372725,598478.8777688146
1942119A,"October 1, 2020",,0122 030,HARLEM PARK                              ,-447618984,J,729990,6936,1413208.5066037178,593250.0178197324
1942118A,"October 1, 2020",,0122 031,HARLEM PARK                              ,-447620472,J,729991,4885,1413191.290758893,593249.1792387217
1942117A,"October 1, 2020",,0122 028,HARLEM PARK                              ,-447619992,J,729988,5090,1413261.2732304633,593250.0712973028
1942116A,"October 1, 2020",,0122 027,HARLEM PARK                              ,-447619464,J,729987,11863,1413277.448723048,593250.8573849797
1942115A,"October 1, 2020",,0122 023,HARLEM PARK                              ,-447620280,J,729983,2902,1413340.1401987225,593253.8859222233
1942114A,"October 1, 2020",,0122 020,HARLEM PARK                              ,-447620664,J,729980,1529,1413386.191943884,593256.1237786412
1942106A,"September 30, 2020",,0175 058,PENROSE/FAYETTE STREET OUTREACH          ,-447619608,J,732319,12459,1411248.3120333105,591305.2854887247
1942101A,"September 29, 2020",,4613 030,CENTRAL PARK HEIGHTS                     ,-447620376,I,877775,3517,1405441.059868306,612550.2512008101
1942088A,"October 1, 2020",,0050 006,SANDTOWN-WINCHESTER                      ,-447620136,J,725797,1075,1412439.9992824644,595494.4985669702
1941976A,"October 9, 2020",,0110 054,HARLEM PARK                              ,-447620232,J,729222,1963,1413290.1120835543,593403.0034061372
1941866A,"October 1, 2020",,3042 004,WALBROOK                                 ,-447619896,H,822646,4764,1406234.34043397,600180.2004816383
1941857A,"September 28, 2020",,0905 001,FEDERAL HILL                             ,-447618360,A,754008,8028,1421494.9952800572,587682.0440475643
1941710A,"October 1, 2020",,0314 052,DRUID HEIGHTS                            ,-447618312,I,740191,8365,1415190.6397785544,597612.9972827286
1941662A,"September 30, 2020",,4178E007,BELAIR-EDISON                            ,-447618936,I,863920,6288,1431487.641305223,601234.4345936477
1941537A,"September 28, 2020",,1628 061,MADISON-EASTEND                          ,-447618264,I,775297,12063,1431872.5598267168,594839.692461893
1941500A,"September 27, 2020",,4616 090,CENTRAL PARK HEIGHTS                     ,-447619560,I,877942,6165,1405840.4235708863,612581.7783687264
1941484A,"September 28, 2020",,1476A007,BEREA                                    ,-447620712,I,768209,8226,1430632.6843537241,598485.9436995536
1941421A,"September 25, 2020",,5695F152,GLENHAM-BELHAR                           ,-447619944,F,911247,8899,1441777.7175098062,612657.0400292277
1941360A,"September 27, 2020",,4507 075,WOODMERE                                 ,-447618216,F,874091,571,1400053.136917144,611992.205400899
1941339A,"September 25, 2020",,2744 021,WEST FOREST PARK                         ,-447620616,H,817803,2847,1400840.6868512183,603795.3631988168
1941229A,"September 25, 2020",,3341 012,GREENSPRING                              ,-447618168,H,831084,7384,1408247.6815516353,606996.5710352212
1941110A,"September 25, 2020",,2275 053,ALLENDALE                                ,-447620760,I,803471,980,1404751.7551445514,591981.7900412232
1941074A,"October 25, 2020",,1102 040,OLIVER                                   ,-447619416,I,758879,10610,1426804.9065762162,599063.4514028132
1941056A,"September 25, 2020",,0176 052,PENROSE/FAYETTE STREET OUTREACH          ,-447620568,J,732417,5527,1411667.5352762192,591428.1651642323
194099A,"July 31, 2007",,1474 015J,BROADWAY EAST                            ,-447620424,J,768123,5830,1430268.1749121398,598572.5554029793
1940730A,"September 24, 2020",,4178F017,FOUR BY FOUR                             ,-447619224,I,864004,55,1432247.580074057,600857.1305582225
1940577A,"September 25, 2020",,4544D007,ARLINGTON                                ,-447620520,I,875581,10782,1402006.5204775482,611328.799247399
1940573A,"September 24, 2020",,1669 045,CARE                                     ,-447619848,E,777433,7336,1429293.9481860548,593606.7526705563
194053A,"April 30, 2007",,1154 023,JOHNSTON SQUARE                          ,-447620808,J,761263,4930,1422973.9398287237,596509.2143853158
1940279A,"September 24, 2020",,0712 036,CARROLLTON RIDGE                         ,-447618072,I,750335,11206,1412950.8358592242,588295.5244478881
1940233A,"September 23, 2020",,1517 102,BROADWAY EAST                            ,-447619800,I,770326,3011,1428699.3840864748,597291.0094096363
1940214A,"September 25, 2020",,0116 057,HARLEM PARK                              ,-447618024,I,729528,3220,1416098.2846167982,593544.4401311427
194020A,"April 27, 2007",,2425 035,NORTHWEST COMMUNITY ACTION               ,-447617928,G,810045,12083,1406198.7722636312,597715.9061976373
1940099A,"September 23, 2020",,1656 077,MCELDERRY PARK                           ,-447619368,H,776750,4651,1430824.3371856362,594171.0025263131
1940017A,"September 23, 2020",,0289 025,CARROLLTON RIDGE                         ,-447617784,J,738874,4595,1411148.266301632,588781.4424393177
1939355A,"October 30, 2020",,4531 020,PIMLICO GOOD NEIGHBORS                   ,-447619128,H,874987,8338,1402506.8455923945,613664.0094719827
1938918A,"September 20, 2020",,1455 053,BEREA                                    ,-447619752,I,767041,3618,1430430.380624473,599177.3734190613
1938913A,"September 20, 2020",,1455 054,BEREA                                    ,-447619704,I,767042,6167,1430429.8747199774,599191.6775243133
1938907A,"September 24, 2020",,1152 014,JOHNSTON SQUARE                          ,-447619656,J,761213,11650,1422692.3977408856,596494.8157920539
1938768A,"September 18, 2020",,0698 111,CARROLLTON RIDGE                         ,-447619032,J,749682,7556,1411854.8026182204,588478.0890433937
1938530A,"September 21, 2020",,6000 027,FRANKFORD                                ,-447552824,D,920076,3240,1439759.999432385,609444.5917297304
1938499A,"October 10, 2020",,2434 002,ROSEMONT                                 ,-447551864,I,810171,10512,1405070.6715014726,596520.127749309
193845A,"April 26, 2007",,1179B039,JOHNSTON SQUARE                          ,-447553256,J,762359,6173,1422805.5966614634,595971.9523364753
1938315A,"September 22, 2020",,0227 048,CARROLLTON RIDGE                         ,-447551816,I,734944,378,1412709.6565515548,590105.3321799785
1938287A,"January 14, 2021",,7097 012,BROOKLYN                                 ,-447552584,I,940642,4613,1426115.572981134,570717.723645553
1938209A,"September 21, 2020",,0204 033,BOYD-BOOTH                               ,-447550712,J,733848,3310,1410883.7943896353,590574.9339310676
1938123A,"September 21, 2020",,4179S117,BELAIR-EDISON                            ,-447550520,F,866038,5348,1435654.5666983873,600652.2415323108
1938010A,"September 16, 2020",,2275C034,SAINT JOSEPHS                            ,-447552776,H,803730,11765,1404645.1152659655,590422.6425689757
193799A,"April 30, 2007",,2401B024,COPPIN HEIGHTS/ASH-CO-EAST               ,-447552536,I,809070,6420,1408084.1126530468,597792.1120819747
193797A,"April 27, 2007",,0260 045,CARROLLTON RIDGE                         ,-447550904,I,736686,10683,1412453.482195139,589375.7945970595
1937766A,"September 20, 2020",,6180 014,ORANGEVILLE                              ,-447552152,F,927130,10379,1436323.8908190578,596016.4269850552
193773A,"April 26, 2007",,4020 002,EAST BALTIMORE MIDWAY                    ,-447552680,G,856746,4881,1423176.62413463,600106.5831748098
1937559A,"September 16, 2020",,0707 008,NEW SOUTHWEST/MOUNT CLARE                ,-447552728,I,750023,12452,1413580.9008720517,588734.8352490664
1937519A,"September 18, 2020",,7803 009F,MORRELL PARK                             ,-447550280,F,949837,11420,1410619.3707058877,583784.8933773041
1937273A,"October 1, 2020",,2424B023,ROSEMONT                                 ,-447550232,I,809954,12728,1406024.1325210482,597305.2400242239
1937173A,"September 14, 2020",,3205 074,MONDAWMIN                                ,-447550616,I,827124,11405,1410670.2203417271,598634.0677471459
1937120A,"March 1, 2021",,0314 038,DRUID HEIGHTS                            ,-447550664,I,740177,9970,1415058.6521816403,597747.6492443979
1936889A,"September 15, 2020",,0708 022,NEW SOUTHWEST/MOUNT CLARE                ,-447551288,I,750122,6852,1413713.6273126304,588898.4225203097
1936581A,"September 11, 2020",,5140A016,MID-GOVANS                               ,-447551192,F,891363,11323,1423460.8174638897,616290.0104535669
1936557A,"September 13, 2020",,4804A010,CYLBURN                                  ,-447551912,H,882516,12056,1406434.587080717,611500.0315164775
1936499A,"September 16, 2020",,7473 023,MOUNT WINANS                             ,-447551624,G,945517,9606,1413110.8204473853,581259.2120769769
1936471A,"September 15, 2020",,1099A046,OLIVER                                   ,-447550568,J,758566,3794,1424845.8038671315,599202.5859670639
193629A,"April 27, 2007",,0065 078,SANDTOWN-WINCHESTER                      ,-447550472,J,726856,240,1414704.9442276359,595423.9396529794
1936234A,"September 11, 2020",,0021 074,SANDTOWN-WINCHESTER                      ,-447551720,J,724496,334,1412742.1499248892,597060.2398580611
1936145A,"September 11, 2020",,0120 015,HARLEM PARK                              ,-447552440,J,729813,5146,1412572.0554488003,593124.613542974
1936046A,"September 13, 2020",,4623 038,CENTRAL PARK HEIGHTS                     ,-447551576,I,878258,12773,1405844.5853079706,611796.045360148
1935981A,"September 13, 2020",,2819 007,GARWYN OAKS                              ,-447550424,F,818823,3633,1402729.5951468945,600334.7552906424
1935872A,"October 7, 2020",,2169 095,SHIPLEY HILL                             ,-447552008,J,800207,12419,1408300.3330211341,590690.8487254828
1935553A,"September 10, 2020",,1467 050,BROADWAY EAST                            ,-447552104,I,767797,1849,1427612.5952495486,598315.8456145674
1935484A,"September 15, 2020",,5205 010,PEN LUCY                                 ,-447551528,F,894458,3849,1425162.658220306,610797.585414812
1935375A,"September 9, 2020",,3965 054,COLDSTREAM HOMESTEAD MONTEBELLO          ,-447550760,H,851549,3430,1427432.474874884,605209.8954747319
193532A,"April 26, 2007",,2404 047,COPPIN HEIGHTS/ASH-CO-EAST               ,-447552392,I,809305,8054,1408048.187528059,597486.2957644761
1934458A,"September 6, 2020",,0294 082,PENN NORTH                               ,-447551768,J,739179,12218,1413393.073163718,598495.9604118168
1934310A,"September 5, 2020",,4011A008,EAST BALTIMORE MIDWAY                    ,-447550376,J,856340,4544,1424691.3812757134,599968.475511387
1934262A,"September 10, 2020",,1149B008,OLIVER                                   ,-447553160,I,761035,1626,1426000.0315455496,597068.9238958061
1933800A,"September 5, 2020",,4010B015,EAST BALTIMORE MIDWAY                    ,-447551480,J,855934,5475,1426154.3589928001,601076.606825307
1933682A,"September 2, 2020",,4010G024,EAST BALTIMORE MIDWAY                    ,-447552632,J,856092,5053,1425504.5978251398,600479.349817723
1933614A,"September 3, 2020",,7095A032,BROOKLYN                                 ,-447551672,H,940420,6541,1425199.748041138,570710.5471507311
1933537A,"September 19, 2020",,3327C028,PARK CIRCLE                              ,-447551432,G,830648,3937,1409296.6604247987,604728.5129073113
1933459A,"September 4, 2020",,0189 045,PENROSE/FAYETTE STREET OUTREACH          ,-447551960,J,733042,1456,1410907.759892881,591076.4047129005
1933358A,"September 21, 2020",,7805D004,MORRELL PARK                             ,-447550328,F,949965,7742,1410733.7428524643,584129.3638169765
1933109A,"September 5, 2020",,1430 025,LITTLE ITALY                             ,-447551384,B,765858,1006,1425325.8554004729,589901.8516158164
1933104A,"September 4, 2020",,7231 124,CURTIS BAY                               ,-447552488,H,942937,9291,1428205.1048913002,568332.3153586388
1933059A,"September 2, 2020",,1611 063,MADISON-EASTEND                          ,-447551336,I,774483,1689,1431561.2723915577,595367.0703441501
1932286A,"September 2, 2020",,1023 028,SOUTH BALTIMORE                          ,-447551240,B,757800,3096,1422232.0430185497,584248.2894321382
1931772A,"September 7, 2020",,4511B024,ARLINGTON                                ,-447551144,H,874354,1978,1401892.6696553826,612242.3633651435
1931631A,"August 28, 2020",,0207 050,BOYD-BOOTH                               ,-447551096,J,734101,7151,1412217.5167877972,590560.0133572221
1931620A,"August 28, 2020",,2183C046,SHIPLEY HILL                             ,-447552056,J,801137,8973,1408003.7942441404,590553.0104184747
1931350A,"August 29, 2020",,6423 031,CANTON                                   ,-447551048,B,932161,2939,1434126.7387173027,590020.4084653109
1931176A,"August 27, 2020",,1574 055,BIDDLE STREET                            ,-447551000,J,772841,6866,1430965.735196799,596168.4470222294
1930981A,"August 27, 2020",,1662 001,ELLWOOD PARK/MONUMENT                    ,-447553208,I,777182,1578,1433008.6599167138,594362.8978118151
193091A,"April 20, 2007",,1132 025,OLIVER                                   ,-447552968,H,760419,6321,1424789.933572054,597594.6029625535
1930815A,"December 15, 2020",,7133 020,BROOKLYN                                 ,-447550952,F,941356,6473,1424489.4545142204,569696.3086936474
1930657A,"September 19, 2020",,2360 052,EVERGREEN LAWN                           ,-447550856,H,807182,5859,1409817.676115051,593845.7354603112
1930489A,"August 26, 2020",,0299 014,DRUID HEIGHTS                            ,-447550808,I,739338,3347,1414456.0493842214,598682.688384816
1930436A,"August 26, 2020",,2419 064,NORTHWEST COMMUNITY ACTION               ,-447553112,I,809910,7084,1406623.9377518892,597491.0496919751
1930312A,"August 26, 2020",,7055 012B,BROOKLYN                                 ,-447553064,H,939206,1701,1425329.9869538844,573248.7530323118
1930287A,"October 9, 2020",,3172 022,PARK CIRCLE                              ,-447552872,I,826030,4782,1407959.47904405,605472.4116819799
1930232A,"December 14, 2020",,0265 063,NEW SOUTHWEST/MOUNT CLARE                ,-447553016,I,737115,306,1414749.1012915522,589527.5967868865
1930207A,"August 25, 2020",,0087 034,HARLEM PARK                              ,-447552344,J,728066,10047,1413465.8561546355,594574.870484978
1930171A,"August 25, 2020",,4626A054,CENTRAL PARK HEIGHTS                     ,-447552920,I,878421,7658,1405963.1861206442,611294.8931472301
1929962A,"August 26, 2020",,3342A030,GREENSPRING                              ,-447552296,G,831244,7506,1409208.36631006,608117.9460890591
1929947A,"August 24, 2020",,1677 066,ELLWOOD PARK/MONUMENT                    ,-447552248,H,778209,5329,1432451.7420673072,593794.5124656409
1929746A,"August 24, 2020",,5872 004,WALTHERSON                               ,-447552200,D,916298,5017,1435919.086510554,607916.5452451408
1929614A,"August 24, 2020",,7068B053,BROOKLYN                                 ,-447548984,H,939576,2357,1424126.8410662264,572807.7791767269
1929030A,"August 21, 2020",,4605A021A,CENTRAL PARK HEIGHTS                     ,-447549032,I,877389,8713,1404555.8290272206,611401.6176713109
1928821A,"August 24, 2020",,1709 018,PATTERSON PARK NEIGHBORHOOD              ,-447548216,B,779555,11122,1430713.0247442275,592894.7009450644
1928806A,"August 25, 2020",,1157 046,JOHNSTON SQUARE                          ,-447547304,H,761480,588,1424260.802740559,596819.5116649717
1928655A,"August 21, 2020",,3303 029,CENTRAL PARK HEIGHTS                     ,-447549896,I,829969,9943,1406788.0844052136,609767.9441013932
1928578A,"August 21, 2020",,8238 034,HOWARD PARK                              ,-447547928,D,956717,2429,1399232.0565382987,608237.0072026402
1928357A,"August 24, 2020",,0160 009,PENROSE/FAYETTE STREET OUTREACH          ,-447548168,I,731435,5549,1411167.988046974,591995.2667203099
192833A,"April 24, 2007",,4581 006,CENTRAL PARK HEIGHTS                     ,-447549368,I,876372,9734,1404103.222977057,612054.9982543141
192802A,"April 20, 2007",,1463 092,BROADWAY EAST                            ,-447548552,J,767607,3176,1429675.8489970565,598990.4587666392
1927883A,"August 24, 2020",,4114B036,COLDSTREAM HOMESTEAD MONTEBELLO          ,-447548360,I,859887,1182,1426479.9072262198,602149.1952313036
1927732A,"August 21, 2020",,3209 031,MONDAWMIN                                ,-447547448,J,827403,1292,1411991.0198654681,599321.0086304843
192771A,"April 26, 2007",,2205 091,ROSEMONT HOMEOWNERS/TENANTS              ,-447549608,I,801645,1861,1409732.5827813,592715.2006478906
1927716A,"August 19, 2020",,1591 043,MILTON-MONTFORD                          ,-447547784,I,773491,8620,1430237.2576511353,595720.0440476388
1927702A,"August 28, 2020",,7095A067,BROOKLYN                                 ,-447549320,H,940455,3980,1425023.9770672172,570017.2841015607
1927363A,"January 14, 2021",,7105 049,BROOKLYN                                 ,-447548696,I,940853,7507,1425403.6633157134,570548.4621730596
1927285A,"August 20, 2020",,4626A089E,CENTRAL PARK HEIGHTS                     ,-447548840,I,878466,4081,1406328.2966108918,610785.322315976
1927191A,"August 19, 2020",,7056A020,BROOKLYN                                 ,-447550136,H,939270,11756,1425358.9052031338,573114.8074340671
1926270A,"August 18, 2020",,4114F048,COLDSTREAM HOMESTEAD MONTEBELLO          ,-447547496,I,860059,9750,1426154.71004197,602098.4125244766
192600A,"April 19, 2007",,4577A017,CENTRAL PARK HEIGHTS                     ,-447548504,I,876194,7881,1403363.6818052232,611527.8752928078
1925899A,"August 16, 2020",,1457 050,BROADWAY EAST                            ,-447549848,J,767235,7916,1427821.625015214,598741.8598544002
1925739A,"August 14, 2020",,0160 025,PENROSE/FAYETTE STREET OUTREACH          ,-447547208,I,731451,5155,1411283.035060972,591890.4959324747
1925714A,"August 14, 2020",,0719A067,CARROLLTON RIDGE                         ,-447548600,J,750490,3494,1412017.124143973,587979.669764638
192542A,"April 23, 2007",,0121 048,HARLEM PARK                              ,-447549656,J,729939,5219,1412735.0859626383,592972.843505308
192538A,"April 19, 2007",,1463 084,BROADWAY EAST                            ,-447549560,J,767599,9735,1429681.0215588808,598894.1978043169
192529A,"April 23, 2007",,0115 057,HARLEM PARK                              ,-447549128,I,729456,2918,1415647.8170138001,593605.3786575645
192519A,"April 19, 2007",,1449 122,BROADWAY EAST                            ,-447547400,I,766656,9178,1428318.8664748073,599374.869743228
192512A,"April 19, 2007",,1449 121,BROADWAY EAST                            ,-447549272,I,766655,738,1428318.106961891,599388.7171564698
192490A,"April 26, 2007",,3407 014,PENN NORTH                               ,-447550088,I,833490,3235,1413965.0050907135,599236.046530053
1924860A,"August 13, 2020",,0411 061,UPTON                                    ,-447549944,G,743303,1967,1416396.7403847277,594277.7500162274
1924675A,"August 12, 2020",,1519 056,BROADWAY EAST                            ,-447550184,J,770405,6994,1429670.5583252162,597393.3123546392
1924572A,"August 26, 2020",,5809 016,WALTHERSON                               ,-447547160,D,914179,7910,1435735.0626003891,611686.2949234843
1924121A,"August 12, 2020",,2109 065,MILLHILL                                 ,-447549512,I,798381,4859,1410154.7148110569,587756.4526913911
1924098A,"August 12, 2020",,4156 036,SOUTH CLIFTON PARK                       ,-447547736,J,862559,6871,1427758.2813098878,599745.4060756415
1924045A,"August 17, 2020",,4150 041,BELAIR-EDISON                            ,-447547976,H,862149,3266,1433878.3346865475,604129.7618082315
1923941A,"August 10, 2020",,1713 129,ELLWOOD PARK/MONUMENT                    ,-447547544,H,780124,4414,1432586.6302489638,593263.4557849765
1923875A,"August 11, 2020",,0303 022,DRUID HEIGHTS                            ,-447547352,I,739666,2567,1414620.7800258845,598480.1198923141
1923832A,"August 16, 2020",,4171 009,SOUTH CLIFTON PARK                       ,-447549224,J,863418,2720,1429188.376874894,599749.7387441397
1923609A,"August 11, 2020",,2183C026,SHIPLEY HILL                             ,-447548744,J,801124,2019,1408123.2739920467,590587.5008350611
192353A,"April 19, 2007",,1659 075,MCELDERRY PARK                           ,-447547256,I,777011,1733,1432022.9122163057,594299.0308135599
192345A,"April 26, 2007",,2408 006,NORTHWEST COMMUNITY ACTION               ,-447550040,H,809491,8017,1408178.9346418828,597186.0768767297
192342A,"April 20, 2007",,2402 016,COPPIN HEIGHTS/ASH-CO-EAST               ,-447549176,I,809110,9348,1407731.0802226365,598278.6097966433
1923332A,"August 7, 2020",,3829 040,BARCLAY                                  ,-447548120,C,846902,4362,1421431.8631884754,601149.9386996478
1923255A,"August 15, 2020",,4001 032,EAST BALTIMORE MIDWAY                    ,-447549992,G,855614,9828,1423352.6726670563,599596.546465233
1923229A,"August 15, 2020",,4011A027,EAST BALTIMORE MIDWAY                    ,-447549800,J,856359,6919,1424623.995583728,599835.5181001425
1923180A,"August 12, 2020",,0712 034,CARROLLTON RIDGE                         ,-447549464,I,750333,6476,1412949.40475972,588320.9410637319
1923053A,"August 7, 2020",,5053 015,KERNEWOOD                                ,-447547832,A,887741,12609,1422651.7446069717,611551.5504423082
1922967A,"August 6, 2020",,0563 030,DOWNTOWN                                 ,-447547640,Rental Market 1,747901,4270,1420269.37502788,592958.9121027291
1922757A,"August 6, 2020",,2170A099,SHIPLEY HILL                             ,-447549080,J,800321,9073,1408746.269137144,590895.6268592328
1922689A,"August 7, 2020",,2145A034,MILLHILL                                 ,-447548408,J,799576,8601,1409313.6600627154,588455.5425005555
1922618A,"August 6, 2020",,2523 035,EDGEWOOD                                 ,-447549752,F,814131,1839,1403117.0107106417,594464.8730015606
1922551A,"August 7, 2020",,2366 007,BRIDGEVIEW/GREENLAWN                     ,-447548648,H,807487,1219,1409426.1828035563,595105.8303810656
1922523A,"August 7, 2020",,4114C038,COLDSTREAM HOMESTEAD MONTEBELLO          ,-447548456,I,859939,6534,1426207.290973559,601807.0098920614
1922354A,"October 2, 2020",,0275 001,CARROLLTON RIDGE                         ,-447549416,J,737775,7983,1412768.0944268107,589285.3115103096
1922309A,"August 5, 2020",,1448 092,BROADWAY EAST                            ,-447548312,J,766506,11633,1428008.614470631,599352.6870448142
1922289A,"August 9, 2020",,1744 078,UPPER FELLS POINT                        ,-447548264,B,782346,5469,1427722.2692428082,591437.5348961502
1922122A,"August 5, 2020",,2218 055,PENROSE/FAYETTE STREET OUTREACH          ,-447547688,J,802101,8807,1407255.5732996315,592449.6007853895
1921943A,"August 21, 2020",,3186 008,TOWANDA-GRANTLEY                         ,-447548936,J,826551,11528,1406024.3949877173,608613.4382083118
1921916A,"August 5, 2020",,3301 123,CENTRAL PARK HEIGHTS                     ,-447548072,I,829812,11298,1405377.7680001408,609871.362201646
1921526A,"August 6, 2020",,0054 026,SANDTOWN-WINCHESTER                      ,-447549704,H,725987,4848,1413793.8627164662,595820.892599225
1921502A,"August 7, 2020",,8245 015,HOWARD PARK                              ,-447548888,F,956914,7052,1398411.1428257972,607211.6867467314
1921491A,"August 3, 2020",,7615 014,CHERRY HILL                              ,-447547592,G,946937,9452,1419852.544496715,576789.1058597267
1921490A,"August 3, 2020",,7065 015,BROOKLYN                                 ,-447548792,H,939378,3380,1425461.7498137206,572464.891411066
1921464A,"August 3, 2020",,4616 001,CENTRAL PARK HEIGHTS                     ,-447548024,I,877853,5902,1405908.737082556,612037.4362815619
1921403A,"August 3, 2020",,4095 007,BETTER WAVERLY                           ,-447547880,F,859335,3559,1424227.0396847278,604232.0473648161
1921389A,"August 3, 2020",,4093 024,BETTER WAVERLY                           ,-447546152,H,859281,636,1424606.9972581416,603904.5017600656
1921356A,"August 3, 2020",,5695F112,GLENHAM-BELHAR                           ,-447547064,F,911207,1143,1442071.6001241356,611942.3337814808
1921327A,"August 3, 2020",,4156 002,SOUTH CLIFTON PARK                       ,-447546440,J,862525,7375,1427351.99504897,599634.5572159737
1921277A,"August 11, 2020",,1124 023,OLIVER                                   ,-447545384,I,760049,8672,1425517.9908429682,598056.7821563035
1920904A,"July 31, 2020",,4179S007,BELAIR-EDISON                            ,-447545144,F,865928,8597,1435084.2016973943,600673.3730517328
192068A,"April 19, 2007",,2206B093,ROSEMONT HOMEOWNERS/TENANTS              ,-447544136,I,801771,3234,1409279.626994297,592694.9149273038
1920629A,"July 31, 2020",,2444 010,WINCHESTER                               ,-447544712,I,810660,6022,1406906.9106111377,595607.7942721397
1920628A,"July 31, 2020",,2395 021,MOSHER                                   ,-447544856,I,808895,12541,1407738.0332927257,594866.1297449768
1920580A,"July 31, 2020",,2475 032,FRANKLINTOWN ROAD                        ,-447545240,I,811532,9984,1406569.6301177144,593163.1367598921
1920579A,"July 31, 2020",,0083 013,MIDTOWN-EDMONDSON                        ,-447546200,J,727746,10381,1411897.2762865573,594214.3141194731
1920578A,"July 31, 2020",,0128 088,HARLEM PARK                              ,-447545576,I,730388,11858,1415678.510850057,593134.5416727215
1920572A,"July 30, 2020",,2948 021,CALLAWAY-GARRISON                        ,-447546584,F,820658,2266,1402523.8524481356,607239.969170481
1920571A,"July 31, 2020",,2349 007,EVERGREEN LAWN                           ,-447545096,I,806701,11891,1410259.7838266343,593505.6678989828
1920570A,"July 31, 2020",,0037A020,SANDTOWN-WINCHESTER                      ,-447544520,G,725304,6017,1414853.0508868098,596671.5532994717
1920568A,"July 31, 2020",,0037 014,SANDTOWN-WINCHESTER                      ,-447546104,G,725243,1187,1414569.2371499687,596526.3104797304
